@relation Steps_Dataset_70ms-weka.filters.unsupervised.attribute.Remove-R1

@attribute duration numeric
@attribute 'acceleration variance' numeric
@attribute 'acceleration peek' numeric
@attribute 'acceleration max-min' numeric
@attribute RMS numeric
@attribute RMS*duration numeric
@attribute gait {jogging,running,walking}

@data
350,107.527622,29.575916,26.268581,18.449026,6457.159217,jogging
420,174.075116,43.087867,39.563548,20.93667,8793.4013,jogging
350,63.87713,20.937448,18.219655,14.933245,5226.635578,jogging
350,126.976045,32.267314,29.250439,18.159587,6355.855523,jogging
350,121.795073,31.766434,28.649366,18.445517,6455.930866,jogging
350,135.895448,33.912214,30.805765,19.303295,6756.153292,jogging
350,125.002231,32.44533,30.234021,18.994626,6648.119122,jogging
350,58.017628,21.647779,18.795662,13.78642,4825.247025,jogging
420,179.098048,40.009916,39.094717,19.972281,8388.358042,jogging
350,47.970316,19.844547,16.454331,13.224955,4628.734364,jogging
350,86.358498,27.137479,24.621907,16.159748,5655.911688,jogging
350,83.668374,25.431635,23.229686,15.858197,5550.368914,jogging
350,78.221037,26.100046,22.092348,15.936207,5577.67242,jogging
350,57.617965,21.224506,18.500589,13.979512,4892.829302,jogging
350,84.327309,28.040603,23.590107,16.360039,5726.013657,jogging
350,75.885991,26.841714,23.694972,15.690671,5491.734778,jogging
350,51.632642,20.680472,17.25625,13.710254,4798.588743,jogging
350,47.990117,19.783361,16.389812,13.471923,4715.172949,jogging
420,234.878101,46.204622,43.996596,21.188748,8899.274139,jogging
420,159.513756,38.686681,36.742983,20.189339,8479.522244,jogging
420,183.129519,42.827399,38.899839,20.29084,8522.15297,jogging
420,158.531889,39.316633,37.64896,19.840074,8332.830871,jogging
420,207.291753,44.196334,42.80271,20.580769,8643.922795,jogging
350,177.217141,39.181274,35.839947,19.621343,6867.470113,jogging
350,141.311526,34.167447,31.36525,17.73262,6206.417036,jogging
350,168.03057,35.382684,33.431251,18.354164,6423.957251,jogging
350,138.091492,32.734743,30.172585,17.299594,6054.857732,jogging
350,163.750805,34.748,32.263833,18.863467,6602.213499,jogging
350,181.736165,35.64971,34.456616,18.434553,6452.093421,jogging
350,123.414583,29.333268,27.300436,16.696839,5843.893624,jogging
350,49.916179,17.965928,15.86463,13.183876,4614.356755,jogging
280,24.338925,16.474841,12.100933,9.724547,2722.873061,jogging
350,101.671663,28.523771,24.757295,16.062263,5621.791994,jogging
280,23.070938,13.390809,10.234388,9.333202,2613.296469,jogging
350,142.091785,33.460125,30.831928,15.286464,5350.262471,jogging
350,104.659628,30.976059,26.599205,14.543649,5090.277263,jogging
350,65.942353,25.724285,21.51845,13.152129,4603.245026,jogging
350,71.531318,26.105012,22.141956,12.985461,4544.911327,jogging
280,132.278706,31.346111,28.622847,15.89995,4451.98593,jogging
350,127.832168,31.141208,29.59249,14.438778,5053.572413,jogging
350,91.61435,25.815778,22.637126,14.787931,5175.775919,jogging
420,181.326651,42.29426,40.180868,19.79689,8314.693966,jogging
350,202.933416,40.53294,36.827073,19.798047,6929.316608,jogging
420,119.835889,32.369922,29.257209,18.040892,7577.174464,jogging
350,43.812052,19.112063,16.081376,13.383099,4684.084485,jogging
350,53.958141,19.846598,18.024793,13.21153,4624.035347,jogging
420,181.3721,42.426647,40.438785,19.925482,8368.702261,jogging
420,227.627513,47.009696,43.76638,21.981903,9232.399318,jogging
350,61.645711,21.013011,17.767229,13.600506,4760.176926,jogging
350,8.130361,14.374329,6.890929,11.650053,4077.518593,jogging
1890,18.496517,26.481964,21.800339,11.785158,22273.948652,jogging
280,41.88895,19.225343,14.890015,11.49838,3219.546368,jogging
350,119.570599,30.893131,27.384746,14.923913,5223.369695,jogging
210,31.347635,15.447686,11.357596,10.056093,2111.779434,jogging
280,60.861883,20.376669,17.971659,11.718555,3281.195325,jogging
350,87.359761,25.329769,22.671494,14.076569,4926.799144,jogging
350,94.559548,28.035805,24.200747,14.4904,5071.639849,jogging
350,59.383858,23.663868,19.400239,13.038404,4563.441368,jogging
350,132.583503,29.460126,28.24363,15.255563,5339.446899,jogging
280,61.018983,22.14907,19.605361,11.782948,3299.225371,jogging
280,45.494835,19.254265,16.177694,10.923308,3058.526312,jogging
280,79.831281,25.788688,21.532947,13.639916,3819.176512,jogging
350,187.787865,39.444373,37.502456,18.318173,6411.360531,jogging
280,17.875131,12.365083,8.730242,8.685101,2431.82841,jogging
350,59.686002,23.93416,20.3861,11.801818,4130.636351,jogging
350,137.600513,32.034114,28.193393,17.731008,6205.85278,jogging
350,149.985282,30.788167,26.592838,18.481985,6468.694637,jogging
280,112.945382,30.395216,26.255544,16.04643,4493.000285,jogging
350,169.638704,33.843282,32.435714,18.278142,6397.349616,jogging
350,267.562576,45.649685,44.003563,20.501174,7175.411043,jogging
350,86.733978,27.375851,24.319202,13.491395,4721.988397,jogging
350,110.747948,30.876096,27.803708,16.290556,5701.694432,jogging
280,22.390933,13.329927,10.181937,8.979793,2514.342064,jogging
350,105.197245,30.377329,26.089065,14.536262,5087.691593,jogging
350,81.609671,25.775541,21.958209,15.188119,5315.841557,jogging
350,99.948523,29.439054,26.305899,13.931502,4876.02556,jogging
350,74.938219,27.532067,23.255572,13.755535,4814.437409,jogging
350,63.455279,22.058242,18.214829,14.12047,4942.164666,jogging
350,82.810383,27.203013,24.204888,12.886079,4510.127726,jogging
350,43.463114,21.960551,16.854485,12.056496,4219.773427,jogging
350,78.173121,27.11151,23.125746,14.796707,5178.847308,jogging
280,28.299659,15.663036,13.816473,10.009016,2802.524527,jogging
280,20.319634,16.678042,10.559321,10.677899,2989.811657,jogging
280,55.725501,22.48432,18.734111,12.351277,3458.357595,jogging
350,83.547147,27.291684,23.115307,13.670346,4784.62113,jogging
420,157.014174,33.610338,31.399215,17.685326,7427.836884,jogging
350,105.683899,30.140669,26.882357,14.360312,5026.109298,jogging
280,26.755009,18.180601,13.649094,10.77674,3017.487321,jogging
350,191.651268,39.31408,36.90139,19.303391,6756.186889,jogging
350,197.13869,39.606657,38.738869,18.305047,6406.766424,jogging
280,27.126501,17.552372,13.300542,10.35191,2898.53489,jogging
350,122.523516,27.874749,24.433006,16.889489,5911.321179,jogging
280,111.599848,31.41822,26.112691,16.139547,4519.073182,jogging
280,142.38771,33.863004,29.144659,17.321673,4850.068383,jogging
350,56.835476,24.156237,20.736709,12.272576,4295.401513,jogging
280,25.387721,16.401167,10.82651,10.965407,3070.314044,jogging
350,123.475361,32.133857,28.124649,15.413722,5394.802796,jogging
280,14.604874,11.744718,7.684966,8.75349,2450.977274,jogging
280,18.084709,13.393183,11.142868,8.38628,2348.158327,jogging
350,79.802474,27.607877,23.128062,13.550044,4742.515268,jogging
350,154.741875,35.308749,32.408937,16.408332,5742.916167,jogging
420,36.802923,18.083131,14.504538,11.729598,4926.431294,jogging
420,74.216987,25.94494,22.468956,14.44773,6068.046621,jogging
280,47.788602,20.341782,16.613949,10.868259,3043.112632,jogging
210,47.61162,17.886014,15.111304,10.979531,2305.70154,jogging
